,Country,Climate Vulnerability Score,Year_Month,Aviation Emissions (Tons),Year,Month,Population(Thousands),GDP (current US$),CO2 Emissions (Metric Tons)
203,Vanuatu,0.56,2019-Dec,3528.679518,2019,12,296.8114792,956164253.6,0.475359307
204,Australia,0.306,2020-Jan,1477292.302,2020,1,25662.2815,1.47E+12,15.18759113
205,Canada,0.281,2020-Jan,1872473.879,2020,1,38042.516,1.85E+12,14.31876742
206,France,0.3,2020-Jan,1617400.189,2020,1,65866.4465,2.74E+12,4.2069237
207,Germany,0.299,2020-Jan,2158202.119,2020,1,83690.94625,3.94E+12,7.591204326
208,Japan,0.36,2020-Jan,2154868.483,2020,1,126273.9625,4.90E+12,8.254948222
209,Netherlands,0.355,2020-Jan,1002921.339,2020,1,17629.2355,9.35E+11,7.942761379
210,Spain,0.292,2020-Jan,1036061.421,2020,1,47533.43475,1.40E+12,4.705696686
211,United Kingdom,0.285,2020-Jan,2691347.776,2020,1,67378.04725,2.91E+12,4.888492362
212,Bangladesh,0.554,2020-Jan,63919.97371,2020,1,166031.0155,3.78E+11,0.535190607
213,Haiti,0.51,2020-Jan,5389.082079,2020,1,11204.77375,16325456177,0.290528023
214,Madagascar,0.559,2020-Jan,11538.58549,2020,1,28773.98075,14404126134,0.119961558
215,Maldives,0.564,2020-Jan,5575.407059,2020,1,496.82475,5837230786,3.394826241
216,Mozambique,0.479,2020-Jan,980.1122992,2020,1,30577.3465,16236278097,0.235703606
217,Nepal,0.494,2020-Jan,27107.58826,2020,1,28739.407,35935370424,0.495045595
218,Solomon Islands,0.634,2020-Jan,1555.341497,2020,1,741.37675,1605956435,0.387312894
219,United Arab Emirates,0.382,2020-Jan,4168550.961,2020,1,9593.90675,4.40E+11,20.20280826
220,Vanuatu,0.56,2020-Jan,3410.364994,2020,1,297.25025,957949525.1,0.468729742
221,Australia,0.306,2020-Feb,1284976.501,2020,2,25677.24546,1.48E+12,15.15330328
222,Canada,0.281,2020-Feb,1694248.538,2020,2,38064.14775,1.86E+12,14.25817816
223,France,0.3,2020-Feb,1432835.036,2020,2,65877.86213,2.74E+12,4.185820263
224,Germany,0.299,2020-Feb,1973149.7,2020,2,83701.92627,3.94E+12,7.563205718
225,Japan,0.36,2020-Feb,1979043.843,2020,2,126238.5074,4.88E+12,8.236327193
226,Netherlands,0.355,2020-Feb,904311.0477,2020,2,17636.87954,9.37E+11,7.903494054
227,Spain,0.292,2020-Feb,915249.8971,2020,2,47541.62773,1.40E+12,4.670188177
228,United Kingdom,0.285,2020-Feb,2564103.336,2020,2,67400.30469,2.92E+12,4.864546519
229,Bangladesh,0.554,2020-Feb,61926.75054,2020,2,166124.1789,3.81E+11,0.533145353
230,Haiti,0.51,2020-Feb,414.0407609,2020,2,11213.07465,16434569948,0.289968607
231,Madagascar,0.559,2020-Feb,7273.320822,2020,2,28820.18298,14429081255,0.118070556
232,Maldives,0.564,2020-Feb,2989.952604,2020,2,497.5825625,5846492118,3.347456162
233,Mozambique,0.479,2020-Feb,1445.084554,2020,2,30635.09371,16296571358,0.234625601
234,Nepal,0.494,2020-Feb,24249.6575,2020,2,28766.51892,36081136235,0.496238983
235,Solomon Islands,0.634,2020-Feb,720.836443,2020,2,742.4792292,1604856553,0.381958948
236,United Arab Emirates,0.382,2020-Feb,3684528.65,2020,2,9611.911729,4.42E+11,20.20693021
237,Vanuatu,0.56,2020-Feb,2018.516278,2020,2,297.6890208,959734796.5,0.462100178
238,Australia,0.306,2020-Mar,1084989.672,2020,3,25692.20942,1.48E+12,15.11901543
239,Canada,0.281,2020-Mar,1439552.267,2020,3,38085.7795,1.87E+12,14.1975889
240,France,0.3,2020-Mar,1026712.238,2020,3,65889.27775,2.74E+12,4.164716825
241,Germany,0.299,2020-Mar,1423173.205,2020,3,83712.90629,3.95E+12,7.53520711
242,Japan,0.36,2020-Mar,1765301.091,2020,3,126203.0523,4.87E+12,8.217706164
243,Netherlands,0.355,2020-Mar,696826.9128,2020,3,17644.52358,9.39E+11,7.864226729
244,Spain,0.292,2020-Mar,600311.3994,2020,3,47549.82071,1.40E+12,4.634679667
245,United Kingdom,0.285,2020-Mar,1934323.168,2020,3,67422.56213,2.92E+12,4.840600677
246,Bangladesh,0.554,2020-Mar,38172.97625,2020,3,166217.3423,3.83E+11,0.531100099
247,Haiti,0.51,2020-Mar,354.795534,2020,3,11221.37554,16543683719,0.28940919
248,Madagascar,0.559,2020-Mar,3303.015762,2020,3,28866.38521,14454036376,0.116179555
249,Maldives,0.564,2020-Mar,1303.136724,2020,3,498.340375,5855753451,3.300086084
250,Mozambique,0.479,2020-Mar,2427.316006,2020,3,30692.84092,16356864619,0.233547597
251,Nepal,0.494,2020-Mar,14111.61388,2020,3,28793.63083,36226902045,0.497432371
252,Solomon Islands,0.634,2020-Mar,1047.4619,2020,3,743.5817083,1603756671,0.376605003
253,United Arab Emirates,0.382,2020-Mar,2608988.012,2020,3,9629.916708,4.44E+11,20.21105216
254,Vanuatu,0.56,2020-Mar,2021.255669,2020,3,298.1277917,961520068,0.455470613
255,Australia,0.306,2020-Apr,204921.8725,2020,4,25707.17338,1.49E+12,15.08472758
256,Canada,0.281,2020-Apr,313765.5592,2020,4,38107.41125,1.87E+12,14.13699965
257,France,0.3,2020-Apr,131701.0539,2020,4,65900.69338,2.74E+12,4.143613388
258,Germany,0.299,2020-Apr,509573.4314,2020,4,83723.88631,3.95E+12,7.507208502
259,Japan,0.36,2020-Apr,721413.3417,2020,4,126167.5971,4.85E+12,8.199085134
260,Netherlands,0.355,2020-Apr,177368.7956,2020,4,17652.16763,9.41E+11,7.824959404
261,Spain,0.292,2020-Apr,80596.88183,2020,4,47558.01369,1.40E+12,4.599171157
262,United Kingdom,0.285,2020-Apr,254905.6874,2020,4,67444.81956,2.93E+12,4.816654834
263,Bangladesh,0.554,2020-Apr,1137.61738,2020,4,166310.5056,3.85E+11,0.529054845
264,Haiti,0.51,2020-Apr,0,2020,4,11229.67644,16652797489,0.288849774
265,Madagascar,0.559,2020-Apr,23.06408732,2020,4,28912.58744,14478991498,0.114288554
266,Maldives,0.564,2020-Apr,1428.337896,2020,4,499.0981875,5865014783,3.252716005
267,Mozambique,0.479,2020-Apr,740.0382945,2020,4,30750.58813,16417157880,0.232469592
268,Nepal,0.494,2020-Apr,1191.642037,2020,4,28820.74275,36372667856,0.498625758
269,Solomon Islands,0.634,2020-Apr,400.9404154,2020,4,744.6841875,1602656789,0.371251058
270,United Arab Emirates,0.382,2020-Apr,330211.7265,2020,4,9647.921688,4.46E+11,20.21517411
271,Vanuatu,0.56,2020-Apr,52.07794545,2020,4,298.5665625,963305339.5,0.448841049
272,Australia,0.306,2020-May,200919.0169,2020,5,25722.13733,1.49E+12,15.05043972
273,Canada,0.281,2020-May,420490.2041,2020,5,38129.043,1.88E+12,14.07641039
274,France,0.3,2020-May,218287.7169,2020,5,65912.109,2.75E+12,4.122509951
275,Germany,0.299,2020-May,554208.8107,2020,5,83734.86633,3.95E+12,7.479209893
276,Japan,0.36,2020-May,558437.8957,2020,5,126132.142,4.83E+12,8.180464105
277,Netherlands,0.355,2020-May,280396.5071,2020,5,17659.81167,9.43E+11,7.785692079
278,Spain,0.292,2020-May,83425.2818,2020,5,47566.20667,1.40E+12,4.563662648
279,United Kingdom,0.285,2020-May,362993.2759,2020,5,67467.077,2.93E+12,4.792708991
280,Bangladesh,0.554,2020-May,1493.307812,2020,5,166403.669,3.88E+11,0.527009591
281,Haiti,0.51,2020-May,3.073436133,2020,5,11237.97733,16761911260,0.288290357
282,Madagascar,0.559,2020-May,86.55188067,2020,5,28958.78967,14503946619,0.112397552
283,Maldives,0.564,2020-May,1700.262672,2020,5,499.856,5874276115,3.205345926
284,Mozambique,0.479,2020-May,717.1656768,2020,5,30808.33533,16477451141,0.231391588
285,Nepal,0.494,2020-May,2336.487732,2020,5,28847.85467,36518433666,0.499819146
286,Solomon Islands,0.634,2020-May,416.9806554,2020,5,745.7866667,1601556907,0.365897112
287,United Arab Emirates,0.382,2020-May,579586.549,2020,5,9665.926667,4.48E+11,20.21929606
288,Vanuatu,0.56,2020-May,38.47425982,2020,5,299.0053333,965090610.9,0.442211484
289,Australia,0.306,2020-Jun,238234.6853,2020,6,25737.10129,1.50E+12,15.01615187
290,Canada,0.281,2020-Jun,436987.8049,2020,6,38150.67475,1.89E+12,14.01582114
291,France,0.3,2020-Jun,411110.0815,2020,6,65923.52463,2.75E+12,4.101406513
292,Germany,0.299,2020-Jun,557791.7612,2020,6,83745.84635,3.96E+12,7.451211285
293,Japan,0.36,2020-Jun,719982.6782,2020,6,126096.6869,4.81E+12,8.161843075
294,Netherlands,0.355,2020-Jun,413927.084,2020,6,17667.45571,9.45E+11,7.746424754
295,Spain,0.292,2020-Jun,76530.64242,2020,6,47574.39965,1.40E+12,4.528154138
296,United Kingdom,0.285,2020-Jun,443322.657,2020,6,67489.33444,2.94E+12,4.768763149
297,Bangladesh,0.554,2020-Jun,4976.560777,2020,6,166496.8324,3.90E+11,0.524964337
298,Haiti,0.51,2020-Jun,25.80384544,2020,6,11246.27823,16871025031,0.28773094
299,Madagascar,0.559,2020-Jun,171.5306851,2020,6,29004.9919,14528901740,0.110506551
300,Maldives,0.564,2020-Jun,1348.93982,2020,6,500.6138125,5883537447,3.157975848
301,Mozambique,0.479,2020-Jun,1424.763927,2020,6,30866.08254,16537744402,0.230313584
302,Nepal,0.494,2020-Jun,6573.629813,2020,6,28874.96658,36664199477,0.501012534
303,Solomon Islands,0.634,2020-Jun,255.0150628,2020,6,746.8891458,1600457025,0.360543167
304,United Arab Emirates,0.382,2020-Jun,697768.1427,2020,6,9683.931646,4.50E+11,20.22341802
305,Vanuatu,0.56,2020-Jun,65.55851017,2020,6,299.4441042,966875882.4,0.43558192
306,Australia,0.306,2020-Jul,280431.7999,2020,7,25752.06525,1.51E+12,14.98186402
307,Canada,0.281,2020-Jul,526308.6453,2020,7,38172.3065,1.90E+12,13.95523188
308,France,0.3,2020-Jul,751845.9449,2020,7,65934.94025,2.75E+12,4.080303076
309,Germany,0.299,2020-Jul,829123.7514,2020,7,83756.82638,3.96E+12,7.423212677
310,Japan,0.36,2020-Jul,952503.5926,2020,7,126061.2317,4.79E+12,8.143222046
311,Netherlands,0.355,2020-Jul,647547.1544,2020,7,17675.09975,9.47E+11,7.707157429
312,Spain,0.292,2020-Jul,292262.5089,2020,7,47582.59263,1.40E+12,4.492645629
313,United Kingdom,0.285,2020-Jul,705599.7099,2020,7,67511.59188,2.94E+12,4.744817306
314,Bangladesh,0.554,2020-Jul,10764.23969,2020,7,166589.9958,3.92E+11,0.522919083
315,Haiti,0.51,2020-Jul,30.57187113,2020,7,11254.57913,16980138801,0.287171524
316,Madagascar,0.559,2020-Jul,20.46177432,2020,7,29051.19412,14553856862,0.108615549
317,Maldives,0.564,2020-Jul,1093.809731,2020,7,501.371625,5892798779,3.110605769
318,Mozambique,0.479,2020-Jul,2113.130169,2020,7,30923.82975,16598037663,0.229235579
319,Nepal,0.494,2020-Jul,6677.656286,2020,7,28902.0785,36809965287,0.502205921
320,Solomon Islands,0.634,2020-Jul,522.938669,2020,7,747.991625,1599357143,0.355189221
321,United Arab Emirates,0.382,2020-Jul,851757.9633,2020,7,9701.936625,4.51E+11,20.22753997
322,Vanuatu,0.56,2020-Jul,60.95758101,2020,7,299.882875,968661153.8,0.428952355
323,Australia,0.306,2020-Aug,253123.7315,2020,8,25767.02921,1.51E+12,14.94757617
324,Canada,0.281,2020-Aug,567336.1032,2020,8,38193.93825,1.91E+12,13.89464262
325,France,0.3,2020-Aug,948765.7058,2020,8,65946.35588,2.75E+12,4.059199639
326,Germany,0.299,2020-Aug,967661.9647,2020,8,83767.8064,3.97E+12,7.395214069
327,Japan,0.36,2020-Aug,1103515.946,2020,8,126025.7766,4.78E+12,8.124601017
328,Netherlands,0.355,2020-Aug,769877.1909,2020,8,17682.74379,9.49E+11,7.667890104
329,Spain,0.292,2020-Aug,448856.8052,2020,8,47590.7856,1.40E+12,4.457137119
330,United Kingdom,0.285,2020-Aug,1255474.277,2020,8,67533.84931,2.95E+12,4.720871464
331,Bangladesh,0.554,2020-Aug,16641.84782,2020,8,166683.1591,3.94E+11,0.520873829
332,Haiti,0.51,2020-Aug,29.60364362,2020,8,11262.88002,17089252572,0.286612107
333,Madagascar,0.559,2020-Aug,677.1839636,2020,8,29097.39635,14578811983,0.106724548
334,Maldives,0.564,2020-Aug,1184.654201,2020,8,502.1294375,5902060112,3.063235691
335,Mozambique,0.479,2020-Aug,2589.269196,2020,8,30981.57696,16658330925,0.228157575
336,Nepal,0.494,2020-Aug,4602.094794,2020,8,28929.19042,36955731098,0.503399309
337,Solomon Islands,0.634,2020-Aug,463.168815,2020,8,749.0941042,1598257261,0.349835276
338,United Arab Emirates,0.382,2020-Aug,1056097.874,2020,8,9719.941604,4.53E+11,20.23166192
339,Vanuatu,0.56,2020-Aug,119.5172536,2020,8,300.3216458,970446425.3,0.422322791
340,Australia,0.306,2020-Sep,263210.0519,2020,9,25781.99317,1.52E+12,14.91328832
341,Canada,0.281,2020-Sep,550382.7464,2020,9,38215.57,1.92E+12,13.83405337
342,France,0.3,2020-Sep,908250.8058,2020,9,65957.7715,2.75E+12,4.038096201
343,Germany,0.299,2020-Sep,870376.499,2020,9,83778.78642,3.97E+12,7.367215461
344,Japan,0.36,2020-Sep,920330.1183,2020,9,125990.3215,4.76E+12,8.105979987
345,Netherlands,0.355,2020-Sep,722930.1431,2020,9,17690.38783,9.52E+11,7.628622779
346,Spain,0.292,2020-Sep,339645.3848,2020,9,47598.97858,1.40E+12,4.42162861
347,United Kingdom,0.285,2020-Sep,1071709.891,2020,9,67556.10675,2.95E+12,4.696925621
348,Bangladesh,0.554,2020-Sep,18005.10291,2020,9,166776.3225,3.97E+11,0.518828575
349,Haiti,0.51,2020-Sep,62.41633652,2020,9,11271.18092,17198366342,0.286052691
350,Madagascar,0.559,2020-Sep,2160.293968,2020,9,29143.59858,14603767104,0.104833546
351,Maldives,0.564,2020-Sep,936.7942698,2020,9,502.88725,5911321444,3.015865612
352,Mozambique,0.479,2020-Sep,2528.269358,2020,9,31039.32417,16718624186,0.22707957
353,Nepal,0.494,2020-Sep,8735.734483,2020,9,28956.30233,37101496908,0.504592697
354,Solomon Islands,0.634,2020-Sep,487.8584849,2020,9,750.1965833,1597157379,0.344481331
355,United Arab Emirates,0.382,2020-Sep,1235678.887,2020,9,9737.946583,4.55E+11,20.23578387
356,Vanuatu,0.56,2020-Sep,485.4370828,2020,9,300.7604167,972231696.7,0.415693226
357,Australia,0.306,2020-Oct,288564.8794,2020,10,25796.95713,1.53E+12,14.87900046
358,Canada,0.281,2020-Oct,574307.4038,2020,10,38237.20175,1.93E+12,13.77346411
359,France,0.3,2020-Oct,893728.0963,2020,10,65969.18713,2.75E+12,4.016992764
360,Germany,0.299,2020-Oct,826541.9907,2020,10,83789.76644,3.97E+12,7.339216853
361,Japan,0.36,2020-Oct,1059622.11,2020,10,125954.8664,4.74E+12,8.087358958
362,Netherlands,0.355,2020-Oct,768491.2092,2020,10,17698.03188,9.54E+11,7.589355454
363,Spain,0.292,2020-Oct,303662.9531,2020,10,47607.17156,1.40E+12,4.3861201
364,United Kingdom,0.285,2020-Oct,941271.2169,2020,10,67578.36419,2.96E+12,4.672979779
365,Bangladesh,0.554,2020-Oct,26667.4235,2020,10,166869.4859,3.99E+11,0.516783321
366,Haiti,0.51,2020-Oct,158.8582319,2020,10,11279.48181,17307480113,0.285493274
367,Madagascar,0.559,2020-Oct,1938.977437,2020,10,29189.80081,14628722225,0.102942545
368,Maldives,0.564,2020-Oct,1644.531235,2020,10,503.6450625,5920582776,2.968495534
369,Mozambique,0.479,2020-Oct,2956.664082,2020,10,31097.07138,16778917447,0.226001566
370,Nepal,0.494,2020-Oct,10871.7884,2020,10,28983.41425,37247262718,0.505786084
371,Solomon Islands,0.634,2020-Oct,319.2278221,2020,10,751.2990625,1596057497,0.339127385
372,United Arab Emirates,0.382,2020-Oct,1287335.048,2020,10,9755.951563,4.57E+11,20.23990582
373,Vanuatu,0.56,2020-Oct,358.0017205,2020,10,301.1991875,974016968.2,0.409063662
374,Australia,0.306,2020-Nov,317958.2619,2020,11,25811.92108,1.53E+12,14.84471261
375,Canada,0.281,2020-Nov,567150.5357,2020,11,38258.8335,1.94E+12,13.71287485
376,France,0.3,2020-Nov,710789.8319,2020,11,65980.60275,2.75E+12,3.995889327
377,Germany,0.299,2020-Nov,725702.9074,2020,11,83800.74646,3.98E+12,7.311218244
378,Japan,0.36,2020-Nov,1225978.37,2020,11,125919.4112,4.72E+12,8.068737928
379,Netherlands,0.355,2020-Nov,746930.9564,2020,11,17705.67592,9.56E+11,7.550088129
380,Spain,0.292,2020-Nov,257353.3028,2020,11,47615.36454,1.41E+12,4.35061159
381,United Kingdom,0.285,2020-Nov,658171.7464,2020,11,67600.62163,2.96E+12,4.649033936
382,Bangladesh,0.554,2020-Nov,31183.37305,2020,11,166962.6493,4.01E+11,0.514738067
383,Haiti,0.51,2020-Nov,148.4849091,2020,11,11287.78271,17416593884,0.284933857
384,Madagascar,0.559,2020-Nov,545.9554469,2020,11,29236.00304,14653677347,0.101051543
385,Maldives,0.564,2020-Nov,1126.881089,2020,11,504.402875,5929844108,2.921125455
386,Mozambique,0.479,2020-Nov,2651.166003,2020,11,31154.81858,16839210708,0.224923562
387,Nepal,0.494,2020-Nov,11486.60911,2020,11,29010.52617,37393028529,0.506979472
388,Solomon Islands,0.634,2020-Nov,398.3199412,2020,11,752.4015417,1594957616,0.33377344
389,United Arab Emirates,0.382,2020-Nov,1344280.433,2020,11,9773.956542,4.59E+11,20.24402778
390,Vanuatu,0.56,2020-Nov,281.8990085,2020,11,301.6379583,975802239.7,0.402434097
391,Australia,0.306,2020-Dec,459191.5562,2020,12,25826.88504,1.54E+12,14.81042476
392,Canada,0.281,2020-Dec,619567.6287,2020,12,38280.46525,1.94E+12,13.6522856
393,France,0.3,2020-Dec,839618.3927,2020,12,65992.01838,2.75E+12,3.974785889
394,Germany,0.299,2020-Dec,753114.5557,2020,12,83811.72648,3.98E+12,7.283219636
395,Japan,0.36,2020-Dec,1394716.273,2020,12,125883.9561,4.71E+12,8.050116899
396,Netherlands,0.355,2020-Dec,675942.1648,2020,12,17713.31996,9.58E+11,7.510820804
397,Spain,0.292,2020-Dec,391531.3184,2020,12,47623.55752,1.41E+12,4.315103081
398,United Kingdom,0.285,2020-Dec,834740.4225,2020,12,67622.87906,2.97E+12,4.625088093
399,Bangladesh,0.554,2020-Dec,32073.06112,2020,12,167055.8126,4.03E+11,0.512692813
400,Haiti,0.51,2020-Dec,840.4618433,2020,12,11296.0836,17525707654,0.284374441
401,Madagascar,0.559,2020-Dec,1308.080366,2020,12,29282.20527,14678632468,0.099160542
402,Maldives,0.564,2020-Dec,1339.635964,2020,12,505.1606875,5939105441,2.873755377
403,Mozambique,0.479,2020-Dec,2923.622911,2020,12,31212.56579,16899503969,0.223845557
404,Nepal,0.494,2020-Dec,12132.09183,2020,12,29037.63808,37538794339,0.50817286
405,Solomon Islands,0.634,2020-Dec,544.9545482,2020,12,753.5040208,1593857734,0.328419495
406,United Arab Emirates,0.382,2020-Dec,1460574.331,2020,12,9791.961521,4.61E+11,20.24814973
407,Vanuatu,0.56,2020-Dec,413.0731863,2020,12,302.0767292,977587511.1,0.395804533
